family,genus,species,reproduction,body_length_mm,distribution,coord_lower,coord_upper,number_loc,nbr_host_spp,Aphididae,Aleyrodidae,Coccoidea,Other Hemiptera,Diptera,Lepidoptera,Coleoptera,Hymenoptera,Thysanoptera,Neuroptera,Megaloptera,Angiosperms,Pinaceae,Cupressaceae,relation_group,development_time_days
Trichogrammatidae,Trichogramma,cacaeciae,asex,NA,1-2-3-5-6,-38;-119,59;127,40,58,0,0,0,1,1,1,0,1,0,0,0,0,0,0,24,NA
Trichogrammatidae,Trichogramma,closterae,sex,NA,5-6,30;114,42;123,6,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,NA
Trichogrammatidae,Trichogramma,cordubensis,asex,NA,3,32;-26,40;54,5,14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,15-17
Trichogrammatidae,Trichogramma,dianae,asex,NA,1,28;-92,39;-77,6,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Trichogrammatidae,Trichogramma,flavum,asex,NA,1-5,28;-82,38;114,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
Trichogrammatidae,Trichogramma,lasallei,sex,NA,1-2,-33;-103,28;-47,12,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,31,NA
Trichogrammatidae,Trichogramma,lopezandinensis,sex,NA,2,5;-74,5;-74,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,NA
Trichogrammatidae,Trichogramma,nerudai,sex,NA,2,-38;-72,-36;-64,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,9-11
Trichogrammatidae,Trichogramma,nubilale,asex,NA,1-6,23;-100,47;113,11,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,NA
Trichogrammatidae,Trichogramma,oleae,asex,NA,2-3,-38;-64,46;22,4,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,NA
Trichogrammatidae,Trichogramma,ostriniae,sex,0.5-0.65,1-4-5-6,-31;-84,46;138,18,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,NA
Trichogrammatidae,Trichogramma,pratti,sex,NA,1,37;-119,37;-119,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,NA
Trichogrammatidae,Trichogramma,sathon,sex,NA,1-2,24;-119,37;-100,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,NA
Trichogrammatidae,Trichogramma,semblidis,asex,0.5,1-3-5-6,15;-149,64;83,32,59,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,NA
Trichogrammatidae,Trichogramma,sibericum,asex,NA,1-5,37;-128,54;113,4,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,NA
Trichogrammatidae,Trichogramma,tshumakovae,sex,NA,3-5,32;54,41;75,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,NA
Trichogrammatidae,Trichogrammatoidea,armigera,sex,0.45-0.5,2-4-6,-31;-122,39;122,21,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,NA
Trichogrammatidae,Trichogrammatoidea,bactrae,sex,0.42-0.5,1-2-3-6-7,-41;-119,37;175,22,41,0,0,0,0,1,1,0,0,0,0,0,0,0,0,23,NA
